127.0.0.1, 2012-08-22 12:32:20, GET, /, HTTP/1.1, 200, 0.184594
127.0.0.1, 2012-08-22 12:39:26, GET, /init/static/css/bootswatch.css, HTTP/1.1, 200, 0.001411
127.0.0.1, 2012-08-22 12:39:26, GET, /init/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001631
127.0.0.1, 2012-08-22 12:39:26, GET, /init/static/plugin_paginator/paginator.css, HTTP/1.1, 200, 0.001250
127.0.0.1, 2012-08-22 12:39:26, GET, /init/static/css/web2py.css, HTTP/1.1, 200, 0.002782
127.0.0.1, 2012-08-22 12:39:26, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002185
127.0.0.1, 2012-08-22 12:39:26, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.004540
127.0.0.1, 2012-08-22 12:39:26, GET, /init/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000392
127.0.0.1, 2012-08-22 12:39:26, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.000298
127.0.0.1, 2012-08-22 12:39:26, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.000331
127.0.0.1, 2012-08-22 12:39:26, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.000340
127.0.0.1, 2012-08-22 12:39:26, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000221
127.0.0.1, 2012-08-22 12:39:26, GET, /init/static/js/share.js, HTTP/1.1, 200, 0.000339
127.0.0.1, 2012-08-22 12:39:27, GET, /init/static/images/logo.png, HTTP/1.1, 200, 0.001062
127.0.0.1, 2012-08-22 12:39:27, GET, /init/static/images/poweredby.png, HTTP/1.1, 200, 0.000680
127.0.0.1, 2012-08-22 12:39:27, GET, /most_popular, HTTP/1.1, 200, 0.037479
127.0.0.1, 2012-08-22 12:39:27, GET, /init/static/images/google-buzz.png, HTTP/1.1, 200, 0.000656
127.0.0.1, 2012-08-22 12:39:27, GET, /init/static/images/facebook.png, HTTP/1.1, 200, 0.000468
127.0.0.1, 2012-08-22 12:39:27, GET, /init/static/images/twitter.png, HTTP/1.1, 200, 0.001466
127.0.0.1, 2012-08-22 12:40:23, GET, /, HTTP/1.1, 200, 0.173931
127.0.0.1, 2012-08-22 12:40:23, GET, /init/static/css/web2py.css, HTTP/1.1, 200, 0.000374
127.0.0.1, 2012-08-22 12:40:23, GET, /most_popular, HTTP/1.1, 200, 0.036093
127.0.0.1, 2012-08-22 12:40:27, GET, /create_sound, HTTP/1.1, 303, 0.031065
127.0.0.1, 2012-08-22 12:40:27, GET, /user/login, HTTP/1.1, 200, 0.042823
127.0.0.1, 2012-08-22 12:40:30, GET, /, HTTP/1.1, 200, 0.051773
127.0.0.1, 2012-08-22 12:40:31, GET, /most_popular, HTTP/1.1, 200, 0.044219
127.0.0.1, 2012-08-22 12:59:44, GET, /, HTTP/1.1, 500, 0.134754
127.0.0.1, 2012-08-22 12:59:45, GET, /favicon.ico, HTTP/1.1, 404, 0.000348
127.0.0.1, 2012-08-22 12:59:47, GET, /admin/default/ticket/init/127.0.0.1.2012-08-22.12-59-44.1f8f6ec5-4fb6-4e9c-aef9-4ac4fd3985de, HTTP/1.1, 404, 0.031258
127.0.0.1, 2012-08-22 12:59:47, GET, /favicon.ico, HTTP/1.1, 404, 0.000324
127.0.0.1, 2012-08-22 12:59:54, GET, /, HTTP/1.1, 500, 0.322308
127.0.0.1, 2012-08-22 12:59:54, GET, /favicon.ico, HTTP/1.1, 404, 0.000308
127.0.0.1, 2012-08-22 13:02:07, GET, /, HTTP/1.1, 500, 0.146288
127.0.0.1, 2012-08-22 13:02:07, GET, /favicon.ico, HTTP/1.1, 404, 0.000320
127.0.0.1, 2012-08-22 13:03:13, GET, /, HTTP/1.1, 200, 0.044942
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.000428
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/css/screen.css, HTTP/1.1, 200, 0.002437
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/plugin_paginator/paginator.css, HTTP/1.1, 200, 0.001104
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000639
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/css/web2py.css, HTTP/1.1, 200, 0.000530
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000485
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/css/bootswatch.css, HTTP/1.1, 200, 0.000334
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000369
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.000624
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.000378
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.001666
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000384
127.0.0.1, 2012-08-22 13:03:13, GET, /init/static/js/share.js, HTTP/1.1, 200, 0.000361
127.0.0.1, 2012-08-22 13:03:14, GET, /init/static/images/logo.png, HTTP/1.1, 200, 0.000469
127.0.0.1, 2012-08-22 13:03:14, GET, /init/static/images/poweredby.png, HTTP/1.1, 200, 0.000754
127.0.0.1, 2012-08-22 13:03:14, GET, /most_popular, HTTP/1.1, 200, 0.037254
127.0.0.1, 2012-08-22 13:03:14, GET, /init/static/images/facebook.png, HTTP/1.1, 200, 0.000702
127.0.0.1, 2012-08-22 13:03:14, GET, /init/static/images/google-buzz.png, HTTP/1.1, 200, 0.000450
127.0.0.1, 2012-08-22 13:03:14, GET, /init/static/images/twitter.png, HTTP/1.1, 200, 0.002028
127.0.0.1, 2012-08-22 13:03:14, GET, /init/static/css/print.css, HTTP/1.1, 200, 0.000403
127.0.0.1, 2012-09-10 23:30:51, GET, /, HTTP/1.1, 200, 7.554869
127.0.0.1, 2012-09-10 23:30:52, GET, /init/static/images/logo.png, HTTP/1.1, 200, 0.019281
127.0.0.1, 2012-09-10 23:30:52, GET, /favicon.ico, HTTP/1.1, 404, 0.000485
127.0.0.1, 2012-09-10 23:32:00, GET, /default/index_real, HTTP/1.1, 200, 0.109505
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.000632
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000597
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000440
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/css/web2py.css, HTTP/1.1, 200, 0.001327
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/css/bootswatch.css, HTTP/1.1, 200, 0.000441
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/css/screen.css, HTTP/1.1, 200, 0.000402
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/plugin_paginator/paginator.css, HTTP/1.1, 200, 0.064167
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.006847
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.115867
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001223
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.068341
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.116194
127.0.0.1, 2012-09-10 23:32:00, GET, /init/static/js/share.js, HTTP/1.1, 200, 0.000478
127.0.0.1, 2012-09-10 23:32:01, GET, /most_popular, HTTP/1.1, 200, 0.028001
127.0.0.1, 2012-09-10 23:32:01, GET, /init/static/images/poweredby.png, HTTP/1.1, 200, 0.000603
127.0.0.1, 2012-09-10 23:32:01, GET, /init/static/images/twitter.png, HTTP/1.1, 200, 0.053628
127.0.0.1, 2012-09-10 23:32:01, GET, /init/static/images/facebook.png, HTTP/1.1, 200, 0.081342
127.0.0.1, 2012-09-10 23:32:01, GET, /init/static/images/google-buzz.png, HTTP/1.1, 200, 0.096051
127.0.0.1, 2012-09-10 23:32:01, GET, /init/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.095413
127.0.0.1, 2012-09-10 23:32:01, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.000605
127.0.0.1, 2012-09-10 23:36:53, GET, /default/index_real, HTTP/1.1, 200, 0.040073
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/css/calendar.css, HTTP/1.1, 304, 0.000528
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000439
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/css/bootswatch.css, HTTP/1.1, 304, 0.000391
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000427
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/plugin_paginator/paginator.css, HTTP/1.1, 304, 0.003950
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/css/web2py.css, HTTP/1.1, 304, 0.003755
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000395
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/css/screen.css, HTTP/1.1, 304, 0.000370
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/js/jquery.js, HTTP/1.1, 304, 0.000495
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/js/web2py.js, HTTP/1.1, 304, 0.000468
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/js/calendar.js, HTTP/1.1, 304, 0.000399
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000499
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000391
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/images/logo.png, HTTP/1.1, 304, 0.000528
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/images/poweredby.png, HTTP/1.1, 304, 0.000519
127.0.0.1, 2012-09-10 23:36:53, GET, /most_popular, HTTP/1.1, 200, 0.024731
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/images/twitter.png, HTTP/1.1, 304, 0.000568
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/images/google-buzz.png, HTTP/1.1, 304, 0.000616
127.0.0.1, 2012-09-10 23:36:53, GET, /init/static/images/facebook.png, HTTP/1.1, 304, 0.000566
127.0.0.1, 2012-09-10 23:39:20, GET, /default/index_real, HTTP/1.1, 200, 0.037330
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/css/calendar.css, HTTP/1.1, 304, 0.000535
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/plugin_paginator/paginator.css, HTTP/1.1, 304, 0.000395
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000508
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/css/screen.css, HTTP/1.1, 304, 0.000627
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001516
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/css/bootswatch.css, HTTP/1.1, 304, 0.000976
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/css/web2py.css, HTTP/1.1, 304, 0.002941
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/js/jquery.js, HTTP/1.1, 304, 0.000384
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000945
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/js/calendar.js, HTTP/1.1, 304, 0.000474
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/js/web2py.js, HTTP/1.1, 304, 0.000466
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000425
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000436
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/images/logo.png, HTTP/1.1, 200, 0.000550
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/images/poweredby.png, HTTP/1.1, 304, 0.000443
127.0.0.1, 2012-09-10 23:39:21, GET, /most_popular, HTTP/1.1, 200, 0.025397
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/images/twitter.png, HTTP/1.1, 304, 0.000521
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/images/facebook.png, HTTP/1.1, 304, 0.000458
127.0.0.1, 2012-09-10 23:39:21, GET, /init/static/images/google-buzz.png, HTTP/1.1, 304, 0.000442
127.0.0.1, 2012-09-10 23:41:28, GET, /, HTTP/1.1, 200, 0.023349
127.0.0.1, 2012-09-10 23:41:28, GET, /css/bootstrap.min.css, HTTP/1.1, 404, 0.018967
127.0.0.1, 2012-09-10 23:41:28, GET, /css/screen.css, HTTP/1.1, 404, 0.031534
127.0.0.1, 2012-09-10 23:41:28, GET, /img/logo.png, HTTP/1.1, 404, 0.027031
127.0.0.1, 2012-09-10 23:41:28, GET, /assets/js/jquery.js, HTTP/1.1, 404, 0.044672
127.0.0.1, 2012-09-10 23:41:28, GET, /assets/js/bootstrap.min.js, HTTP/1.1, 404, 0.053687
127.0.0.1, 2012-09-10 23:41:28, GET, /assets/ico/favicon.ico, HTTP/1.1, 404, 0.018208
127.0.0.1, 2012-09-10 23:42:07, GET, /, HTTP/1.1, 200, 0.023835
127.0.0.1, 2012-09-10 23:42:07, GET, /css/screen.css, HTTP/1.1, 404, 0.032639
127.0.0.1, 2012-09-10 23:42:07, GET, /css/bootstrap.min.css, HTTP/1.1, 404, 0.028502
127.0.0.1, 2012-09-10 23:42:07, GET, /img/logo.png, HTTP/1.1, 404, 0.058139
127.0.0.1, 2012-09-10 23:42:07, GET, /assets/js/jquery.js, HTTP/1.1, 404, 0.077031
127.0.0.1, 2012-09-10 23:42:07, GET, /assets/js/bootstrap.min.js, HTTP/1.1, 404, 0.093591
127.0.0.1, 2012-09-10 23:42:08, GET, /favicon.ico, HTTP/1.1, 404, 0.000558
